3.921824864581217041e-01 4.023841825563503893e-01
9.351965288746773020e-01 2.868058810694073535e-01
3.537883036669596803e-01 3.554445530208459880e-01
6.734487634552199786e-03 5.440549148994956383e-03
5.988206494387298129e-01 5.183445597700468976e-01
6.724121756667199579e-01 5.731154291604524387e-01
7.671428591994404744e-01 5.520561595807176314e-01
9.840803486824033497e-01 7.041922738343713017e-02
1.040375774866322267e-01 1.123292717321881656e-01
4.113204276992632469e-01 3.912490124349158882e-01
9.187802733664739430e-01 3.485509171374588933e-01
7.222022048310581255e-01 5.508765253824646768e-01
2.873658309110105336e-02 2.518438313005179688e-02
3.356238256010009025e-01 3.308091765635856052e-01
6.906280943113013437e-01 5.577103546576912541e-01
1.464674372043641704e-01 1.516905682951203704e-01
4.314389736535865216e-01 4.035326262407183950e-01
3.787042854249238477e-01 3.772951155925068356e-01
4.659641017891110737e-01 4.332018080088728129e-01
7.796896063062619397e-01 5.578461030603515391e-01
1.485173346951731421e-01 1.344488781024750501e-01
5.676900144257784886e-01 5.068791368318258383e-01
9.942017259462188061e-01 3.043982629811925467e-02
9.205454592795963009e-01 3.304830071707846595e-01
4.512071192748171589e-01 4.291216995661544242e-01
1.792456344023994896e-01 1.762132067957697668e-01
5.836721456831064359e-01 5.216730854862515754e-01
4.247438063956443521e-03 -1.186427802455415452e-02
9.145423194168824654e-01 3.588902260385783971e-01
5.877550202229930854e-01 5.266341458665637631e-01
5.309259615989169179e-01 4.846546974190678592e-01
9.075052715243416834e-01 3.623238762497736909e-01
4.360021732111192261e-01 4.195675448116255035e-01
8.366299615805743439e-01 4.932994021545504815e-01
9.617956581598283705e-01 1.904036556428108928e-01
9.471709076966677854e-01 2.313785052809499698e-01
4.681188529747887239e-01 4.465703824953182188e-01
5.906311784215523275e-03 1.063718470911860330e-02
3.539674248053342742e-01 3.451010822130086697e-01
6.552285532136584711e-01 5.631149000270369021e-01
